UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Vibration Levels,Operational Hours,Failure Type,LLM Comment,Recommended Action,Action Category
380,L47559,L,297.3,308.2,1754,26.8,34.0,122.78,No Failure,"Engine ID 380 is operating within normal parameters with no failures detected. Vibration levels are acceptable, and all temperatures are stable.",Continue regular monitoring and maintenance schedule.,Monitor
381,L47560,L,297.5,308.3,2564,12.8,35.0,123.14,No Failure,Engine ID 381 is operating within normal parameters with no failures detected. Vibration levels and temperatures are acceptable.,Continue regular monitoring and schedule the next routine maintenance check.,Monitor
382,L47561,L,297.5,308.5,1546,40.4,36.0,123.49,No Failure,Engine ID 382 is operating within normal parameters with no failures detected. All readings are stable.,Continue regular monitoring and schedule next inspection in accordance with operational hours.,Monitor
383,L47562,L,297.5,308.5,1335,48.0,37.0,123.85,No Failure,Engine 383 is operating within normal parameters with no failure detected. All readings are stable.,Continue regular monitoring and schedule next inspection in accordance with operational hours.,Monitor
384,M15243,M,297.5,308.6,1842,27.0,38.0,124.2,No Failure,Engine 384 is operating within normal parameters with no signs of failure. Vibration levels are acceptable and temperatures are stable.,Continue regular monitoring and maintenance as scheduled.,Monitor
385,L47564,L,297.5,308.5,1712,26.8,39.0,124.55,No Failure,Engine 385 is operating within normal parameters with no failures detected. Vibration levels are acceptable.,Continue regular monitoring and schedule next inspection after 50 operational hours.,Monitor
386,M15245,M,297.6,308.6,1414,45.4,40.0,124.91,No Failure,Engine ID 386 is operating within normal parameters with no failures detected. Vibration levels are acceptable and operational hours are manageable.,Continue regular monitoring and schedule next routine maintenance check.,Monitor
387,L47566,L,297.6,308.7,1319,50.9,42.0,125.26,No Failure,Engine ID 387 is operating within normal parameters with no failures detected. Vibration levels are acceptable and operational hours are manageable.,Continue regular monitoring and schedule next inspection in accordance with maintenance plan.,Monitor
388,L47567,L,297.7,308.7,1249,60.4,52.0,125.62,No Failure,Engine ID 388 is operating within normal parameters with no failures detected. Vibration levels are slightly elevated but not critical.,Monitor vibration levels and perform routine maintenance at the next scheduled interval.,Monitor
389,L47568,L,297.6,308.7,1455,48.2,44.0,125.97,No Failure,Engine ID 389 is operating within normal parameters with no failures detected. Vibration levels are acceptable and operational hours are manageable.,Continue regular monitoring and schedule the next routine maintenance check.,Monitor
390,M15249,M,297.6,308.7,1408,54.8,52.0,126.33,No Failure,Engine ID 390 is operating within normal parameters with no failures detected. Vibration levels are slightly elevated but not critical.,Monitor vibration levels and perform routine maintenance at the next scheduled interval.,Monitor
391,L47570,L,297.6,308.7,1460,46.7,44.0,126.68,No Failure,Engine ID 391 is operating within normal parameters with no failures detected. Vibration levels and temperatures are acceptable.,Continue routine monitoring and maintenance as scheduled.,Monitor
392,L47571,L,297.6,308.6,1491,38.1,35.0,127.04,No Failure,Engine ID 392 is operating within normal parameters with no failures detected. All readings are stable.,Continue regular monitoring and schedule next inspection in accordance with operational hours.,Monitor
393,M15252,M,297.6,308.5,1490,43.4,36.0,127.39,No Failure,Engine 393 is operating within normal parameters with no failures detected. All readings are stable.,Continue regular monitoring and maintenance schedule.,Monitor
394,M15253,M,297.5,308.4,1350,52.2,33.0,127.75,No Failure,Engine 394 is operating within normal parameters with no failures detected. Vibration levels are acceptable and performance metrics are stable.,Continue regular monitoring and schedule next inspection at 150 operational hours.,Monitor
395,L47574,L,297.5,308.4,1528,39.9,23.0,128.1,No Failure,"Engine 395 is operating within normal parameters with no failures detected. Vibration levels are acceptable, and temperatures are stable.",Continue regular monitoring and schedule next inspection in accordance with operational hours.,Monitor
396,L47575,L,297.4,308.3,1571,37.7,45.0,128.45,No Failure,"Engine 396 is operating within normal parameters with no failures detected. Vibration levels are acceptable, and temperatures are stable.",Continue regular monitoring and schedule next routine maintenance check.,Monitor
397,L47576,L,297.4,308.3,1490,42.6,55.0,128.81,No Failure,Engine 397 is operating within normal parameters with no failures detected. Vibration levels are slightly elevated but still acceptable for current operational hours.,Monitor vibration levels during next inspection and consider routine maintenance to ensure optimal performance.,Monitor
398,M15257,M,297.4,308.3,1774,28.9,45.0,129.16,No Failure,Engine ID 398 is operating within normal parameters with no failures detected. Vibration levels are slightly elevated but not critical.,Monitor vibration levels and schedule a follow-up inspection in 50 operational hours.,Monitor
399,H29812,H,297.4,308.3,1502,43.6,34.0,129.52,No Failure,"Engine ID 399 is operating within normal parameters with no failures detected. Vibration levels are acceptable, and all temperatures are stable.",Continue regular monitoring and schedule the next inspection in accordance with operational hours.,Monitor
400,L47579,L,297.4,308.4,1392,49.7,34.0,129.87,No Failure,Engine ID 400 is operating within normal parameters with no failure detected. Vibration levels are acceptable and performance metrics are stable.,Continue regular monitoring and maintenance schedule.,Monitor
401,L47580,L,297.4,308.5,2100,16.9,23.0,130.23,No Failure,Engine 401 is operating within normal parameters with no failures detected. All readings are stable.,Continue regular monitoring and schedule next routine maintenance check.,Monitor
402,L47581,L,297.5,308.5,1722,30.4,42.0,130.58,No Failure,Engine ID 402 is operating within normal parameters with no failures detected. Vibration levels are acceptable and operational hours are within limits.,Continue regular monitoring and maintenance schedule.,Monitor
403,L47582,L,297.4,308.6,1678,32.3,54.0,130.94,No Failure,Engine ID 403 is operating within normal parameters with no failures detected. Vibration levels are slightly elevated but not critical.,Monitor vibration levels and schedule a follow-up inspection in 50 operational hours.,Monitor
404,L47583,L,297.3,308.6,1273,59.8,55.0,131.29,No Failure,Engine 404 is operating within normal parameters with no failures detected. Vibration levels are slightly elevated but not critical.,Monitor vibration levels and schedule a follow-up inspection in 50 operational hours.,Monitor
405,L47584,L,297.3,308.6,1297,45.9,54.0,131.65,No Failure,Engine 405 is operating within normal parameters with no failures detected. Vibration levels are slightly elevated but not critical.,Monitor vibration levels and schedule a follow-up inspection in 50 operational hours.,Monitor
406,L47585,L,297.3,308.5,1350,57.6,34.0,132.0,No Failure,"Engine ID 406 is operating within normal parameters with no failures detected. Vibration levels are acceptable, and all temperatures are within range.",Continue regular monitoring and maintenance schedule.,Monitor
407,L47586,L,297.4,308.6,1439,51.9,33.0,132.35,No Failure,Engine 407 is operating within normal parameters with no failures detected. All readings are stable.,Continue regular monitoring and schedule next inspection in accordance with operational hours.,Monitor
408,M15267,M,297.4,308.5,1600,42.1,23.0,132.71,No Failure,Engine 408 is operating within normal parameters with no failures detected. All readings are stable.,Continue regular monitoring and maintenance schedule.,Monitor
409,M15268,M,297.4,308.6,1434,44.4,24.0,133.06,No Failure,"Engine 409 is operating within normal parameters with no failures detected. Vibration levels are acceptable, and temperatures are stable.",Continue regular monitoring and schedule the next routine maintenance check.,Monitor
410,L47589,L,297.4,308.6,1459,41.3,36.0,133.42,No Failure,Engine 410 is operating within normal parameters with no failures detected. Vibration levels are acceptable and performance metrics are stable.,Continue routine monitoring and maintenance as scheduled.,Monitor
411,M15270,M,297.5,308.6,1472,44.9,34.0,133.77,No Failure,Engine ID 411 is operating within normal parameters with no failures detected. All readings are stable.,Continue regular monitoring and schedule next inspection in 50 operational hours.,Monitor
412,L47591,L,297.5,308.7,1429,44.3,35.0,134.13,No Failure,Engine 412 is operating within normal parameters with no failures detected. All readings are stable.,Continue regular monitoring and maintenance schedule.,Monitor
413,L47592,L,297.5,308.6,1388,48.2,36.0,134.48,No Failure,Engine 413 is operating within normal parameters with no failures detected. All readings are stable.,Continue regular monitoring and schedule next inspection after 50 operational hours.,Monitor
414,L47593,L,297.4,308.4,1573,34.5,37.0,134.84,No Failure,Engine ID 414 is operating within normal parameters with no failures detected. All readings are stable.,Continue regular monitoring and schedule next inspection in accordance with operational hours.,Monitor
415,L47594,L,297.4,308.4,1588,32.5,38.0,135.19,No Failure,"Engine ID 415 is operating within normal parameters with no failures detected. Vibration levels are acceptable, and temperatures are stable.",Continue regular monitoring and schedule next inspection after 50 operational hours.,Monitor
416,L47595,L,297.5,308.4,1511,42.8,39.0,135.55,No Failure,Engine 416 is operating within normal parameters with no failures detected. All readings are stable.,Continue regular monitoring and schedule next inspection at 150 operational hours.,Monitor
417,L47596,L,297.4,308.5,1495,37.8,40.0,135.9,No Failure,"Engine 417 is operating within normal parameters with no failures detected. Vibration levels are acceptable, and temperatures are stable.",Continue regular monitoring and schedule next inspection in accordance with operational hours.,Monitor
418,L47597,L,297.4,308.4,1394,50.1,34.56129032,136.25,No Failure,Engine 418 is operating within normal parameters with no failures detected. Vibration levels are acceptable and temperatures are stable.,Continue regular monitoring and schedule next routine maintenance.,Monitor
419,L47598,L,297.4,308.4,2151,17.7,34.27983871,136.61,No Failure,Engine 419 is operating within normal parameters with no failures detected. Vibration levels are slightly elevated but not critical.,Monitor vibration levels during next inspection and consider routine maintenance to ensure continued performance.,Monitor
420,M15279,M,297.3,308.3,1501,38.2,33.9983871,136.96,No Failure,Engine 420 is operating within normal parameters with no failures detected. Vibration levels are acceptable and operational hours are within expected limits.,Continue regular monitoring and schedule the next routine inspection.,Monitor
421,M15280,M,297.3,308.3,1301,39.6,33.71693548,137.32,No Failure,Engine 421 is operating within normal parameters with no failures detected. Vibration levels are acceptable.,Continue regular monitoring and schedule next routine maintenance.,Monitor
422,M15281,M,297.3,308.3,1657,31.1,33.43548387,137.67,No Failure,Engine 422 is operating within normal parameters with no failures detected. Vibration levels are acceptable.,Continue regular monitoring and schedule next inspection in accordance with operational hours.,Monitor
423,L47602,L,297.3,308.3,1333,55.2,33.15403226,138.03,No Failure,Engine 423 is operating within normal parameters with no failures detected. Vibration levels and temperatures are acceptable.,Continue regular monitoring and schedule the next inspection in accordance with operational hours.,Monitor
424,L47603,L,297.3,308.3,1484,43.9,32.87258065,138.38,No Failure,Engine ID 424 is operating within normal parameters with no failures detected. Vibration levels are acceptable.,Continue regular monitoring and maintenance schedule.,Monitor
425,L47604,L,297.3,308.4,1430,45.7,32.59112903,138.74,No Failure,Engine 425 is operating within normal parameters with no failures detected. Vibration levels are acceptable and performance metrics are stable.,Continue regular monitoring and schedule next routine maintenance check.,Monitor
426,M15285,M,297.3,308.4,1665,28.9,32.30967742,139.09,No Failure,"Engine 426 is operating within normal parameters with no failures detected. Vibration levels are acceptable, and temperatures are stable.",Continue regular monitoring and maintenance schedule.,Monitor
427,L47606,L,297.4,308.5,1501,44.9,32.02822581,139.45,No Failure,Engine ID 427 is operating within normal parameters with no failures reported. Vibration levels are acceptable.,Continue regular monitoring and schedule next inspection at 150 operational hours.,Monitor
428,M15287,M,297.5,308.5,1496,42.2,31.74677419,139.8,No Failure,"Engine ID 428 is operating within normal parameters with no failures detected. Vibration levels are acceptable, and temperatures are stable.",Continue regular monitoring and schedule next inspection after 50 operational hours.,Monitor
429,M15288,M,297.6,308.6,1595,36.9,31.46532258,140.15,No Failure,Engine 429 is operating within normal parameters with no failures detected. Vibration levels are acceptable.,Continue regular monitoring and schedule next inspection at 200 operational hours.,Monitor
430,L47609,L,297.5,308.6,1208,62.3,31.18387097,140.51,No Failure,"Engine 430 is operating within normal parameters with no failures detected. Vibration levels are acceptable, and temperatures are stable.",Continue regular monitoring and schedule next inspection at 200 operational hours.,Monitor
431,L47610,L,297.5,308.6,1596,37.1,30.90241935,140.86,No Failure,Engine 431 is operating within normal parameters with no failures detected. Vibration levels are acceptable and performance metrics are stable.,Continue regular monitoring and maintenance schedule.,Monitor
432,L47611,L,297.5,308.5,1446,41.9,30.62096774,141.22,No Failure,Engine 432 is operating within normal parameters with no failures detected. Vibration levels are acceptable.,Continue regular monitoring and schedule next inspection in accordance with operational hours.,Monitor
433,M15292,M,297.6,308.5,1466,39.7,30.33951613,141.57,No Failure,Engine ID 433 is operating within normal parameters with no failures detected. Vibration levels are acceptable.,Continue regular monitoring and schedule next inspection at 200 operational hours.,Monitor
434,M15293,M,297.6,308.5,1848,23.7,30.05806452,141.93,No Failure,Engine 434 is operating within normal parameters with no failures detected. Vibration levels are acceptable and temperatures are stable.,Continue regular monitoring and maintenance schedule.,Monitor
435,M15294,M,297.5,308.5,1484,44.7,29.7766129,142.28,No Failure,Engine 435 is operating within normal parameters with no failures detected. Vibration levels are slightly elevated but not critical.,Monitor vibration levels and schedule a follow-up inspection in 50 operational hours.,Monitor
436,L47615,L,297.4,308.3,1493,41.2,29.49516129,142.64,No Failure,Engine 436 is operating within normal parameters with no failures detected. Vibration levels are acceptable.,Continue regular monitoring and schedule next inspection.,Monitor
437,L47616,L,297.3,308.3,1504,36.3,29.21370968,142.99,No Failure,Engine 437 is operating within normal parameters with no failures detected. Vibration levels are slightly elevated but not critical.,Monitor vibration levels and schedule a follow-up inspection in 50 operational hours.,Monitor
438,L47617,L,297.3,308.3,1538,38.5,28.93225806,143.35,No Failure,Engine 438 is operating within normal parameters with no failures detected. Vibration levels are acceptable.,Continue regular monitoring and schedule next inspection in accordance with operational hours.,Monitor
439,L47618,L,297.4,308.4,1341,52.2,28.65080645,143.7,No Failure,"Engine 439 is operating within normal parameters with no failures detected. Vibration levels are acceptable, and temperatures are stable.",Continue regular monitoring and schedule the next inspection after 50 operational hours.,Monitor
440,M15299,M,297.4,308.3,1535,34.6,28.36935484,144.05,No Failure,Engine 440 is operating within normal parameters with no failures detected. Vibration levels are acceptable.,Continue regular monitoring and schedule next inspection after 50 operational hours.,Monitor
441,L47620,L,297.4,308.5,1389,39.2,28.08790323,144.41,No Failure,"Engine ID 441 is operating within normal parameters with no failure detected. Vibration levels are acceptable, and temperatures are stable.",Continue regular monitoring and maintenance schedule.,Monitor
442,H29855,H,297.5,308.5,1393,46.6,27.80645161,144.76,No Failure,Engine 442 is operating within normal parameters with no failures detected. Vibration levels are slightly elevated but still acceptable.,Monitor vibration levels during next inspection and consider further analysis if they increase.,Monitor
443,L47622,L,297.4,308.5,1399,61.5,27.525,145.12,Overstrain Failure,Engine 443 shows signs of overstrain failure with elevated vibration levels and operational parameters nearing limits.,Conduct a thorough inspection of the engine components and consider reducing load or adjusting operational parameters to prevent further damage.,Flag for Inspection
444,H29857,H,297.4,308.5,1469,45.1,27.24354839,145.47,Overstrain Failure,Engine 444 is experiencing overstrain failure with elevated vibration levels. Operational parameters are within range but require monitoring.,Conduct a detailed inspection of the engine components and consider reducing load to prevent further strain.,Flag for Inspection
445,L47624,L,297.4,308.4,1582,37.2,26.96209677,145.83,No Failure,Engine 445 is operating within normal parameters with no failures detected. Vibration levels are slightly elevated but not critical.,Monitor vibration levels and schedule a follow-up inspection in 50 operational hours.,Monitor
446,L47625,L,297.5,308.6,1793,26.7,26.68064516,146.18,No Failure,Engine 446 is operating within normal parameters with no failures detected. Vibration levels are slightly elevated but not critical.,Monitor vibration levels and schedule a follow-up inspection in 50 operational hours.,Monitor
447,L47626,L,297.5,308.6,1452,39.0,26.39919355,146.54,No Failure,Engine 447 is operating within normal parameters with no failures detected. Vibration levels are slightly elevated but not critical.,Monitor vibration levels and schedule a follow-up inspection in 50 operational hours.,Monitor
448,M15307,M,297.6,308.7,1376,59.9,26.11774194,146.89,No Failure,Engine ID 448 is operating within normal parameters with no failures detected. Vibration levels are slightly elevated but not critical.,Monitor vibration levels and schedule a follow-up inspection in 50 operational hours.,Monitor
449,L47628,L,297.5,308.6,1552,44.9,25.83629032,147.25,No Failure,Engine ID 449 is operating within normal parameters with no failures detected. Vibration levels are slightly elevated but still acceptable.,Monitor vibration levels during next inspection and consider routine maintenance.,Monitor
450,L47629,L,297.6,308.7,1622,37.9,25.55483871,147.6,No Failure,Engine ID 450 is operating within normal parameters with no failure detected. Vibration levels are slightly elevated but not critical.,Monitor vibration levels and schedule a follow-up inspection in 50 operational hours.,Monitor
451,M15310,M,297.6,308.7,1419,41.7,25.2733871,147.95,Power Failure,Engine 451 is experiencing a power failure with elevated vibration levels. Immediate attention is required to prevent further damage.,Conduct a thorough inspection of the engine components and address the power failure issue. Check for any loose connections or mechanical faults.,Flag for Inspection
452,H29865,H,297.5,308.6,1440,46.1,24.99193548,148.31,No Failure,"Engine ID 452 is operating within normal parameters with no failures detected. Vibration levels are slightly elevated, but overall performance is stable.",Monitor vibration levels closely and schedule a routine check-up in the next operational cycle.,Monitor
453,M15312,M,297.4,308.6,1643,31.0,24.71048387,148.66,No Failure,Engine 453 is operating within normal parameters with no failures detected. Vibration levels are slightly elevated but still acceptable.,Monitor vibration levels during next inspection and consider routine maintenance to ensure continued performance.,Monitor
454,L47633,L,297.4,308.7,1510,36.2,24.42903226,149.02,Tool Wear Failure,"Engine ID 454 shows signs of tool wear failure with elevated vibration levels at 24.43. Operational parameters are within range, but monitoring is advised due to the wear indication.",Schedule immediate inspection and maintenance to address tool wear and reduce vibration levels.,Flag for Inspection
455,L47634,L,297.4,308.7,1468,46.6,24.14758065,149.37,Tool Wear Failure,Engine 455 shows signs of tool wear failure with elevated vibration levels. Operational parameters are within acceptable ranges but require monitoring.,Schedule maintenance to inspect and replace worn tools.,Flag for Inspection
456,L47635,L,297.4,308.7,1429,57.4,42.0,149.73,Tool Wear Failure,Engine ID 456 shows signs of tool wear failure with elevated vibration levels at 42.0 and operational hours at 149.73. Immediate attention is required to prevent further damage.,Schedule a maintenance check to assess and replace worn tools.,Flag for Inspection
457,H29870,H,297.3,308.7,1478,47.6,52.0,150.08,No Failure,Engine ID 457 is operating within normal parameters with no failures detected. Vibration levels are slightly elevated but not critical.,Monitor vibration levels and schedule a follow-up inspection in 50 operational hours.,Monitor
458,L47637,L,297.4,308.6,1276,53.6,44.0,150.44,No Failure,Engine ID 458 is operating within normal parameters with no failures detected. All readings are stable.,Continue regular monitoring and maintenance schedule.,Monitor
459,L47638,L,297.3,308.6,1486,42.6,52.0,150.79,No Failure,Engine 459 is operating within normal parameters with no failures detected. Vibration level is slightly elevated but not critical.,Monitor vibration levels and schedule a follow-up inspection in 50 operational hours.,Monitor
460,L47639,L,297.4,308.6,1476,42.3,44.0,151.15,No Failure,"Engine ID 460 is operating within normal parameters with no failures detected. Vibration levels are acceptable, and temperatures are stable.",Continue regular monitoring and maintenance schedule.,Monitor
461,H29874,H,297.3,308.6,1431,42.0,35.0,151.5,No Failure,Engine 461 is operating within normal parameters with no failures detected. All readings are stable.,Continue regular monitoring and schedule next inspection in 50 operational hours.,Monitor
462,L47641,L,297.4,308.7,1402,40.2,36.0,151.85,No Failure,Engine ID 462 is operating within normal parameters with no failures detected. All readings are stable.,Continue regular monitoring and schedule the next routine inspection.,Monitor
463,L47642,L,297.4,308.7,1433,43.4,33.0,152.21,No Failure,Engine ID 463 is operating within normal parameters with no failures detected. All readings are stable.,Continue regular monitoring and schedule next inspection in accordance with operational hours.,Monitor
464,L47643,L,297.4,308.7,2874,4.2,23.0,152.56,No Failure,Engine ID 464 is operating within normal parameters with no failures detected. Vibration levels are slightly elevated but not critical.,Monitor vibration levels and schedule a follow-up inspection in 50 operational hours.,Monitor
465,L47644,L,297.3,308.6,1511,35.7,45.0,152.92,No Failure,Engine 465 is operating within normal parameters with no failures detected. Vibration levels are slightly elevated but still acceptable.,Monitor vibration levels during next inspection and ensure regular maintenance checks.,Monitor
466,M15325,M,297.3,308.6,1456,42.9,55.0,153.27,No Failure,Engine ID 466 is operating within normal parameters with no failures detected. Vibration levels are slightly elevated but not critical.,Monitor vibration levels and schedule a routine check in the next operational cycle.,Monitor
467,L47646,L,297.2,308.5,1550,41.5,45.0,153.63,No Failure,Engine ID 467 is operating within normal parameters with no failures detected. Vibration levels are slightly elevated but still acceptable.,Monitor vibration levels during next inspection and consider further analysis if they increase.,Monitor
468,L47647,L,297.2,308.5,2182,16.5,34.0,153.98,No Failure,Engine 468 is operating within normal parameters with no failures detected. All readings are stable and within acceptable limits.,Continue regular monitoring and schedule next routine maintenance check.,Monitor
469,L47648,L,297.3,308.7,1619,31.6,34.0,154.34,No Failure,Engine 469 is operating within normal parameters with no failures detected. Vibration levels are acceptable and performance metrics are stable.,Continue regular monitoring and maintenance schedule.,Monitor
470,M15329,M,297.3,308.8,1586,32.7,23.0,154.69,No Failure,Engine 470 is operating within normal parameters with no failures detected. All readings are stable.,Continue regular monitoring and schedule next inspection in accordance with operational hours.,Monitor
471,H29884,H,297.3,308.8,1499,44.2,42.0,155.05,No Failure,"Engine 471 is operating within normal parameters with no failures detected. Vibration levels are acceptable, and temperatures are stable.",Continue regular monitoring and schedule next routine maintenance.,Monitor
472,H29885,H,297.3,308.8,1419,42.4,54.0,155.4,No Failure,Engine 472 is operating within normal parameters with no failures detected. Vibration levels are slightly elevated but not critical.,Monitor vibration levels and schedule a follow-up inspection in 50 operational hours.,Monitor
473,M15332,M,297.4,309.0,1497,41.8,55.0,155.75,No Failure,Engine 473 is operating within normal parameters with no failures detected. Vibration levels are slightly elevated but still acceptable.,Monitor vibration levels during next inspection and consider further analysis if they increase.,Monitor
474,M15333,M,297.4,309.0,1520,37.0,54.0,156.11,No Failure,"Engine ID 474 is operating within normal parameters with no failures detected. Vibration levels are slightly elevated, but overall performance is satisfactory.",Monitor vibration levels and schedule a follow-up inspection in 50 operational hours.,Monitor
475,L47654,L,297.4,309.1,1478,49.8,34.0,156.46,No Failure,"Engine ID 475 is operating within normal parameters with no failures detected. Vibration levels are acceptable, and temperatures are stable.",Continue regular monitoring and maintenance as scheduled.,Monitor
476,L47655,L,297.4,309.1,1380,41.1,33.0,156.82,No Failure,Engine 476 is operating within normal parameters with no failures detected. All readings are stable.,Continue regular monitoring and maintenance schedule.,Monitor
477,L47656,L,297.4,309.0,1570,37.9,23.0,157.17,No Failure,"Engine 477 is operating within normal parameters with no failures detected. Vibration levels are acceptable, and temperatures are stable.",Continue regular monitoring and maintenance schedule.,Monitor
478,H29891,H,297.4,309.0,1468,41.4,24.0,157.53,No Failure,Engine 478 is operating within normal parameters with no failures detected. Vibration levels are slightly elevated but still acceptable.,Monitor vibration levels during next inspection and consider routine maintenance to ensure continued performance.,Monitor
479,L47658,L,297.4,309.0,1833,22.6,36.0,157.88,No Failure,Engine 479 is operating within normal parameters with no failures detected. Vibration levels are acceptable.,Continue regular monitoring and maintenance schedule.,Monitor
480,M15339,M,297.4,308.9,1323,57.3,34.0,158.24,No Failure,Engine 480 is operating within normal parameters with no failures detected. Vibration levels and temperatures are acceptable.,Continue regular monitoring and maintenance schedule.,Monitor
481,L47660,L,297.4,309.0,1583,32.0,35.0,158.59,No Failure,Engine ID 481 is operating within normal parameters with no failures detected. All readings are stable.,Continue regular monitoring and schedule next inspection in accordance with operational hours.,Monitor
482,M15341,M,297.3,309.0,1556,39.5,36.0,158.95,No Failure,Engine ID 482 is operating within normal parameters with no failures detected. All readings are stable.,Continue regular monitoring and schedule next inspection after 50 operational hours.,Monitor
483,L47662,L,297.3,309.0,1548,37.4,37.0,159.3,No Failure,Engine 483 is operating within normal parameters with no failures detected. Temperatures and rotational speed are stable.,Continue regular monitoring and maintenance schedule.,Monitor
484,L47663,L,297.4,309.0,1324,56.9,38.0,159.65,No Failure,Engine ID 484 is operating within normal parameters with no failures detected. All readings are stable.,Continue regular monitoring and schedule next inspection in accordance with operational hours.,Monitor
485,L47664,L,297.4,309.0,1568,33.7,39.0,160.01,No Failure,Engine 485 is operating within normal parameters with no failures detected. All readings are stable.,Continue regular monitoring and maintenance schedule.,Monitor
486,M15345,M,297.4,309.0,1685,30.7,40.0,160.36,No Failure,"Engine ID 486 is operating within normal parameters with no failures detected. Vibration levels are acceptable, and temperatures are stable.",Continue regular monitoring and schedule next inspection in accordance with operational hours.,Monitor
487,M15346,M,297.4,309.1,1582,35.9,42.0,160.72,No Failure,"Engine ID 487 is operating within normal parameters with no failures detected. Vibration levels are acceptable, and temperatures are stable.",Continue regular monitoring and maintenance schedule.,Monitor
488,M15347,M,297.4,309.1,1463,35.0,52.0,161.07,No Failure,Engine ID 488 is operating within normal parameters with no failures detected. Vibration levels are slightly elevated but still acceptable.,Monitor vibration levels during next inspection and ensure regular maintenance is performed.,Monitor
489,L47668,L,297.4,309.2,1584,42.8,44.0,161.43,No Failure,Engine 489 is operating within normal parameters with no failures detected. Vibration levels are acceptable and temperatures are stable.,Continue regular monitoring and schedule next routine maintenance check.,Monitor
490,M15349,M,297.5,309.2,1347,55.8,52.0,161.78,No Failure,Engine 490 is operating within normal parameters with no failures detected. Vibration levels are slightly elevated but not critical.,Monitor vibration levels and schedule a follow-up inspection in 50 operational hours.,Monitor
491,L47670,L,297.4,309.2,1459,37.9,44.0,162.14,No Failure,Engine 491 is operating within normal parameters with no failures detected. Vibration levels are acceptable.,Continue regular monitoring and maintenance schedule.,Monitor
492,L47671,L,297.4,309.2,1420,45.6,35.0,162.49,No Failure,Engine ID 492 is operating within normal parameters with no failures detected. All readings are stable.,Continue regular monitoring and schedule the next inspection in accordance with operational hours.,Monitor
493,L47672,L,297.5,309.3,1404,43.5,36.0,162.85,No Failure,Engine 493 is operating within normal parameters with no failure detected. All readings are stable.,Continue regular monitoring and maintenance schedule.,Monitor
494,L47673,L,297.5,309.3,1470,38.8,33.0,163.2,No Failure,Engine ID 494 is operating within normal parameters with no failures detected. Vibration levels and temperatures are acceptable.,Continue regular monitoring and maintenance schedule.,Monitor
495,L47674,L,297.6,309.4,1326,49.8,23.0,163.55,No Failure,Engine 495 is operating within normal parameters with no failure detected. Vibration levels are acceptable and performance metrics are stable.,Continue regular monitoring and schedule next routine maintenance check.,Monitor
496,H29909,H,297.5,309.3,1459,49.7,45.0,163.91,No Failure,Engine 496 is operating within normal parameters with no failures detected. Vibration levels are slightly elevated but still acceptable.,Monitor vibration levels during next inspection and consider routine maintenance to ensure continued performance.,Monitor
497,M15356,M,297.5,309.2,1530,40.0,55.0,164.26,No Failure,Engine 497 is operating within normal parameters with no failures detected. Vibration levels are slightly elevated but not critical.,Monitor vibration levels and schedule a follow-up inspection in 50 operational hours.,Monitor
498,L47677,L,297.4,309.0,1505,39.2,45.0,164.62,No Failure,"Engine 498 is operating within normal parameters with no failures detected. Vibration levels are acceptable, and temperatures are stable.",Continue regular monitoring and schedule the next routine inspection.,Monitor
499,L47678,L,297.5,309.1,1611,30.2,34.0,164.97,No Failure,"Engine ID 499 is operating within normal parameters with no failures detected. Vibration levels are acceptable, and temperatures are stable.",Continue regular monitoring and maintenance schedule.,Monitor
500,L47679,L,297.5,309.1,1515,35.1,34.0,165.33,No Failure,"Engine ID 500 is operating within normal parameters with no failures detected. Vibration levels are acceptable, and temperatures are stable.",Continue regular monitoring and maintenance schedule.,Monitor
